Date,New Deaths per Million,Total Deaths per Million,CFR,Cumulative Estimated Daily Excess Deaths per Million,Estimated Daily Excess Deaths per Million,Cumulative Excess Deaths to Case Deaths,Cumulative Mean Excess Deaths to Case Deaths,Estimated Daily CFR,Estimated Cumulative CFR
2023-05-25,0.02300528575847515,1296.3488600039,1.2778071416089443,2668.456118201545,0.8422394219509288,2.058439823207402,2.058439823207402,46.78140317891971,2.630289106666671
2023-05-26,0.020746237583695024,1296.3696062414836,1.277792768501186,2669.261814197181,0.8331035529920433,2.059028383067444,2.059028383067444,51.312132676168744,2.63101157802227
2023-05-27,0.02455312158150981,1296.393918058418,1.277793814338196,2670.067510192818,0.8239676840331579,2.059611259355276,2.059611259355276,42.880934971014646,2.631758527145473
2023-05-28,0.24822447850992513,1296.6421425369276,1.2777931302875276,2670.8732061884543,0.8148318150742724,2.059838345962436,2.059838345962436,4.194535937357165,2.6320472879736245
2023-05-29,0.07761159455796957,1296.7197541314856,1.2777631567188272,2659.9557135196833,0.8128926963819628,2.0512957445467954,2.0512957445467954,13.38310781679512,2.6210701259160105
2023-05-30,0.04034478260802683,1296.7600989140935,1.2777440024739946,2672.4359606965495,0.7987478801523064,2.0608561004725905,2.0608561004725905,25.29683511419821,2.633246522340796
2023-05-31,0.44828048733579656,1297.2083794014295,1.2778607492067369,2673.1930192090076,0.791799814189226,2.0607275297146157,2.0607275297146157,2.257091112296565,2.633322825032067
2023-06-01,0.023642863120349602,1297.2320222645499,1.2778094557269284,2673.950077721466,0.7848517482261455,2.061273566970394,2.061273566970394,42.418339103946465,2.6339148547147433
2023-06-02,0.018975303930017492,1297.2509975684798,1.2778058065858358,2674.7071362339243,0.7779036822630648,2.0618270028292893,2.0618270028292893,52.384396362041876,2.6346145163907364
2023-06-03,0.042239175875986,1297.293236744356,1.2777848181171059,2675.464194746383,0.7709556162999844,2.0623434386050135,2.0623434386050135,23.32231539844741,2.635231135592914
2023-06-04,0.3297747402211877,1297.6230114845769,1.277819994793331,2676.221253258841,0.7640075503369038,2.062402739141506,2.062402739141506,2.960396916206392,2.6353794573915508
2023-06-05,0.07604521701488516,1297.6990567015919,1.2778157765227967,2665.301114687553,0.7636296419737985,2.053866881480244,2.053866881480244,12.831549994045973,2.624463504033133
2023-06-06,0.04993582979561123,1297.7489925313873,1.27779564990256,2677.594017048746,0.7368659370167923,2.063260331896567,2.063260331896567,18.85548097899403,2.636425076713946
